SKU_ID,Date,Sales_Units,Stock_On_Hand,Ramadan,Promo_Active
ALPHA_X1,2025-04-01,33,600,0,0
ALPHA_X1,2025-04-02,37,567,0,0
ALPHA_X1,2025-04-03,41,530,0,1
ALPHA_X1,2025-04-04,55,489,0,1
ALPHA_X1,2025-04-05,50,439,0,1
ALPHA_X1,2025-04-06,44,395,0,0
ALPHA_X1,2025-04-07,38,357,0,0
ALPHA_X1,2025-04-08,35,322,0,0
ALPHA_X1,2025-04-09,40,287,0,0
ALPHA_X1,2025-04-10,42,245,0,0
ALPHA_X1,2025-04-11,30,215,0,0
ALPHA_X1,2025-04-12,28,187,0,0
ALPHA_X1,2025-04-13,45,600,0,1
ALPHA_X1,2025-04-14,60,555,0,1
ALPHA_X1,2025-04-15,58,497,0,1
ALPHA_X1,2025-04-16,52,445,0,0
ALPHA_X1,2025-04-17,47,398,0,0
ALPHA_X1,2025-04-18,43,355,0,0
ALPHA_X1,2025-04-19,39,316,0,0
ALPHA_X1,2025-04-20,36,280,0,0
BETA_Y2,2025-04-01,15,400,0,0
BETA_Y2,2025-04-02,18,385,0,0
BETA_Y2,2025-04-03,14,371,0,0
BETA_Y2,2025-04-04,30,357,0,1
BETA_Y2,2025-04-05,35,327,0,1
BETA_Y2,2025-04-06,32,295,0,1
BETA_Y2,2025-04-07,20,275,0,0
BETA_Y2,2025-04-08,17,258,0,0
BETA_Y2,2025-04-09,16,242,0,0
BETA_Y2,2025-04-10,19,223,0,0
BETA_Y2,2025-04-11,22,201,0,0
BETA_Y2,2025-04-12,25,400,0,0
BETA_Y2,2025-04-13,48,375,0,1
BETA_Y2,2025-04-14,52,327,0,1
BETA_Y2,2025-04-15,50,277,0,1
BETA_Y2,2025-04-16,38,239,0,0
BETA_Y2,2025-04-17,30,209,0,0
BETA_Y2,2025-04-18,26,183,0,0
BETA_Y2,2025-04-19,23,160,0,0
BETA_Y2,2025-04-20,20,140,0,0
GAMMA_Z3,2025-04-01,60,800,0,0
GAMMA_Z3,2025-04-02,65,740,0,0
GAMMA_Z3,2025-04-03,70,675,0,1
GAMMA_Z3,2025-04-04,90,605,0,1
GAMMA_Z3,2025-04-05,85,520,0,1
GAMMA_Z3,2025-04-06,75,445,0,0
GAMMA_Z3,2025-04-07,68,377,0,0
GAMMA_Z3,2025-04-08,62,315,0,0
GAMMA_Z3,2025-04-09,58,257,0,0
GAMMA_Z3,2025-04-10,55,202,0,0
GAMMA_Z3,2025-04-11,50,800,0,0
GAMMA_Z3,2025-04-12,48,752,0,0
GAMMA_Z3,2025-04-13,95,704,0,1
GAMMA_Z3,2025-04-14,100,609,0,1
GAMMA_Z3,2025-04-15,98,511,0,1
GAMMA_Z3,2025-04-16,88,423,0,0
GAMMA_Z3,2025-04-17,80,343,0,0
GAMMA_Z3,2025-04-18,72,271,0,0
GAMMA_Z3,2025-04-19,66,205,0,0
GAMMA_Z3,2025-04-20,60,145,0,0
DELTA_W4,2025-04-01,8,150,0,0
DELTA_W4,2025-04-02,9,141,0,0
DELTA_W4,2025-04-03,7,134,0,0
DELTA_W4,2025-04-04,15,127,0,1
DELTA_W4,2025-04-05,18,112,0,1
DELTA_W4,2025-04-06,12,100,0,0
DELTA_W4,2025-04-07,10,90,0,0
DELTA_W4,2025-04-08,8,82,0,0
DELTA_W4,2025-04-09,9,73,0,0
DELTA_W4,2025-04-10,11,62,0,0
DELTA_W4,2025-04-11,7,150,0,0
DELTA_W4,2025-04-12,8,143,0,0
DELTA_W4,2025-04-13,20,135,0,1
DELTA_W4,2025-04-14,22,115,0,1
DELTA_W4,2025-04-15,19,96,0,1
DELTA_W4,2025-04-16,14,82,0,0
DELTA_W4,2025-04-17,11,71,0,0
DELTA_W4,2025-04-18,9,62,0,0
DELTA_W4,2025-04-19,8,54,0,0
DELTA_W4,2025-04-20,7,47,0,0
