SKU_ID,Date,Sales_Units,Stock_On_Hand,Ramadan,Promo_Active
SKU_001,2025-01-01,42,500,0,0
SKU_001,2025-01-02,38,458,0,0
SKU_001,2025-01-03,45,420,0,1
SKU_001,2025-01-04,60,375,0,1
SKU_001,2025-01-05,55,320,0,1
SKU_001,2025-01-06,48,272,0,0
SKU_001,2025-01-07,41,231,0,0
SKU_001,2025-01-08,39,192,0,0
SKU_001,2025-01-09,44,153,0,0
SKU_001,2025-01-10,50,109,0,0
SKU_001,2025-01-11,72,500,1,0
SKU_001,2025-01-12,80,428,1,0
SKU_001,2025-01-13,85,348,1,1
SKU_001,2025-01-14,90,263,1,1
SKU_001,2025-01-15,88,175,1,0
SKU_002,2025-01-01,20,300,0,0
SKU_002,2025-01-02,22,280,0,0
SKU_002,2025-01-03,18,262,0,0
SKU_002,2025-01-04,35,244,0,1
SKU_002,2025-01-05,40,209,0,1
SKU_002,2025-01-06,25,184,0,0
SKU_002,2025-01-07,21,163,0,0
SKU_002,2025-01-08,19,144,0,0
SKU_002,2025-01-09,23,125,0,0
SKU_002,2025-01-10,28,102,0,0
SKU_002,2025-01-11,50,300,1,0
SKU_002,2025-01-12,55,250,1,0
SKU_002,2025-01-13,60,195,1,1
SKU_002,2025-01-14,58,137,1,1
SKU_002,2025-01-15,52,85,1,0
SKU_003,2025-01-01,10,200,0,0
SKU_003,2025-01-02,12,190,0,0
SKU_003,2025-01-03,11,179,0,0
SKU_003,2025-01-04,20,168,0,1
SKU_003,2025-01-05,22,148,0,1
SKU_003,2025-01-06,15,133,0,0
SKU_003,2025-01-07,13,120,0,0
SKU_003,2025-01-08,10,110,0,0
SKU_003,2025-01-09,11,100,0,0
SKU_003,2025-01-10,14,89,0,0
SKU_003,2025-01-11,30,200,1,0
SKU_003,2025-01-12,35,170,1,0
SKU_003,2025-01-13,38,135,1,1
SKU_003,2025-01-14,36,99,1,1
SKU_003,2025-01-15,32,67,1,0
