SKU_ID,Date,Sales_Units,Stock_On_Hand,Ramadan,Promo_Active
CRIT_001,2025-06-01,80,520,0,0
CRIT_001,2025-06-02,85,440,0,0
CRIT_001,2025-06-03,90,355,0,1
CRIT_001,2025-06-04,95,265,0,1
CRIT_001,2025-06-05,88,180,0,1
CRIT_001,2025-06-06,82,98,0,0
CRIT_001,2025-06-07,78,20,0,0
CRIT_001,2025-06-08,75,520,0,0
CRIT_001,2025-06-09,80,445,0,0
CRIT_001,2025-06-10,85,365,0,0
CRIT_001,2025-06-11,90,280,0,0
CRIT_001,2025-06-12,88,195,0,0
CRIT_001,2025-06-13,92,107,0,1
CRIT_001,2025-06-14,95,15,0,1
CRIT_001,2025-06-15,85,520,1,0
CRIT_001,2025-06-16,95,430,1,0
CRIT_001,2025-06-17,100,335,1,1
CRIT_001,2025-06-18,105,235,1,1
CRIT_001,2025-06-19,98,140,1,0
CRIT_001,2025-06-20,92,50,1,0
WARN_002,2025-06-01,30,420,0,0
WARN_002,2025-06-02,32,390,0,0
WARN_002,2025-06-03,28,362,0,0
WARN_002,2025-06-04,45,334,0,1
WARN_002,2025-06-05,50,289,0,1
WARN_002,2025-06-06,35,254,0,0
WARN_002,2025-06-07,30,224,0,0
WARN_002,2025-06-08,28,196,0,0
WARN_002,2025-06-09,32,168,0,0
WARN_002,2025-06-10,35,133,0,0
WARN_002,2025-06-11,30,103,0,0
WARN_002,2025-06-12,28,75,0,0
WARN_002,2025-06-13,40,420,0,1
WARN_002,2025-06-14,45,380,0,1
WARN_002,2025-06-15,55,420,1,0
WARN_002,2025-06-16,60,365,1,0
WARN_002,2025-06-17,65,305,1,1
WARN_002,2025-06-18,62,245,1,1
WARN_002,2025-06-19,58,190,1,0
WARN_002,2025-06-20,52,140,1,0
SAFE_003,2025-06-01,12,900,0,0
SAFE_003,2025-06-02,14,888,0,0
SAFE_003,2025-06-03,11,877,0,0
SAFE_003,2025-06-04,20,866,0,1
SAFE_003,2025-06-05,22,846,0,1
SAFE_003,2025-06-06,16,830,0,0
SAFE_003,2025-06-07,13,817,0,0
SAFE_003,2025-06-08,12,805,0,0
SAFE_003,2025-06-09,11,794,0,0
SAFE_003,2025-06-10,13,783,0,0
SAFE_003,2025-06-11,12,771,0,0
SAFE_003,2025-06-12,10,761,0,0
SAFE_003,2025-06-13,18,900,0,1
SAFE_003,2025-06-14,20,882,0,1
SAFE_003,2025-06-15,25,900,1,0
SAFE_003,2025-06-16,28,875,1,0
SAFE_003,2025-06-17,30,847,1,1
SAFE_003,2025-06-18,27,820,1,1
SAFE_003,2025-06-19,24,796,1,0
SAFE_003,2025-06-20,22,774,1,0
